Year;Month;Region;Total Rainfall (mm)
2013;August;Yenbo;0.0
2013;August;Bisha;1.1
2013;September;Guriat;0.0
2013;September;Makkah;9.2
2013;September;Bisha;0.0
2013;September;Sharorah;90.0
2013;October;Arar;0.0
2013;October;Makkah;0.0
2013;October;Bisha;0.0
2013;October;Turaif;0.0
2013;October;Taif;2.6
2013;October;Qassim;0.0
2013;November;Arar;23.0
2013;November;Wejh;8.3
2013;November;Dmmam;51.6
2013;November;Makkah;1.2
2013;November;Turaif;7.1
2013;November;Jizan;19.0
2013;December;Khamis Mushait;0.0
2013;December;Wejh;5.6
2013;December;Bisha;0.0
2013;December;Taif;1.0
2013;December;Jizan;27.0
2013;December;Qassim;2.0
2013;December;Tabuk;8.1
2014;January;Khamis Mushait;3.0
2014;January;Al-Jouf;1.3
2014;January;Qassim;24.2
2014;January;Riyadh New;49.4
2014;January;Qaisumah;47.1
2014;February;Hail;0.0
2014;February;Wejh;14.3
2014;February;Al-Ahsa;2.4
2014;February;Jizan;1.0
2014;March;Wejh;6.0
2014;March;Al-Ahsa;1.9
2014;April;Bisha;8.9
2014;April;Sharorah;10.7
2014;April;Al-Baha;27.7
2014;May;Yenbo;0.0
2014;May;Dmmam;10.8
2014;May;Madinah;3.5
2014;May;Dhahran;0.0
2014;May;Qaisumah;12.4
2014;June;Arar;0.0
2014;June;Khamis Mushait;2.2
2014;June;Makkah;0.0
2014;June;Sulayel;0.0
2014;June;Jizan;0.0
2014;June;Najran;0.0
2014;June;Rafha;0.0
2014;June;Jeddah KAIA;0.0
2014;July;Taif;3.0
2014;July;Rafha;0.0
2014;July;Riyadh New;0.0
2014;August;Najran;0.0
2014;August;Tabuk;0.0
2014;September;Arar;0.0
2014;September;Al-Ahsa;0.0
2014;September;Madinah;0.0
2014;September;Sulayel;0.0
2014;September;Al-Jouf;0.0
2014;October;Khamis Mushait;1.3
2014;October;Bisha;0.0
2014;October;Sulayel;0.0
2014;October;Qassim;0.0
2014;October;Tabuk;2.2
2014;October;Qaisumah;0.0
2014;October;Al-Baha;9.0
2014;November;Turaif;4.0
2014;November;Sulayel;0.0
2014;November;Rafha;1.9
2014;November;Jeddah KAIA;31.0
2014;November;Tabuk;0.0
2014;November;Qaisumah;0.0
2014;December;Khamis Mushait;0.0
2014;December;Turaif;7.5
2014;December;Sulayel;0.0
2014;December;Najran;0.0
2014;December;Al-Jouf;4.9
2014;December;Jeddah KAIA;0.0
2015;January;Hail;0.0
2015;January;Al-Ahsa;4.1
2015;January;Abha;0.0
2015;January;Dmmam;9.2
2015;January;Najran;0.0
2015;January;Qaisumah;0.001
2015;February;Khamis Mushait;0.0
2015;February;Dmmam;0.001
2015;February;Makkah;0.0
2015;February;Al-Jouf;20.1
2015;February;Jeddah KAIA;0.0
2015;March;Wejh;0.0
2015;March;Madinah;0.001
2015;March;Bisha;29.5
2015;March;Jizan;1.5
2015;March;Jeddah KAIA;0.0
2015;March;Riyadh New;35.0
2015;March;Qaisumah;0.001
2015;April;Arar;0.001
2015;April;Al-Ahsa;0.0
2015;April;Yenbo;0.0
2015;April;Guriat;0.0
2015;April;Al-Jouf;0.001
2015;April;Qaisumah;0.001
2015;May;Guriat;0.0
2015;May;Madinah;0.0
2015;May;Bisha;2.4
2015;May;Jizan;2.6
2015;May;Najran;10.8
2015;May;Jeddah KAIA;0.0
2015;May;Qaisumah;0.0
2015;June;Dmmam;0.0
2015;June;Turaif;0.0
2015;June;Najran;0.0
2015;July;Guriat;0.0
2015;July;Taif;0.0
2015;July;Qassim;0.0
2015;July;Riyadh New;0.0
2015;August;Arar;0.001
2015;August;Wejh;0.0
2015;August;Makkah;17.2
2015;August;Bisha;0.0
2015;August;Jeddah KAIA;3.0
2015;August;Riyadh New;0.0
2015;September;Wejh;0.0
2015;September;Madinah;0.0
2015;September;Sharorah;0.0
2015;September;Riyadh New;0.0
2015;September;Tabuk;0.0
2015;September;Al-Baha;0.001
2015;October;Hail;13.1
2015;October;Khamis Mushait;0.001
2015;October;Al-Ahsa;0.0
2015;October;Guriat;53.9
2015;October;Turaif;19.2
2015;October;Wadi Aldawasir;0.0
2015;October;Najran;0.0
2015;October;Rafha;5.8
2015;October;Al-Baha;0.001
2015;November;Najran;0.001
2015;December;Abha;2.5
2015;December;Guriat;5.8
2015;December;Wadi Aldawasir;0.0
2015;December;Rafha;8.3
2015;December;Al-Jouf;25.2
2015;December;Sharorah;0.001
2015;December;Tabuk;0.001
2016;January;Abha;8.7
2016;January;Makkah;0.001
2016;January;Rafha;3.4
2016;January;Qaisumah;3.8
2016;February;Arar;0.001
2016;February;Dmmam;3.4
2016;February;Madinah;0.0
2016;February;Makkah;0.001
2016;February;Al-Jouf;2.4
2016;February;Jeddah KAIA;5.0
2016;February;Al-Baha;1.0
2016;March;Al-Ahsa;37.3
2016;March;Najran;0.0
2016;March;Qassim;1.5
2016;March;Riyadh New;11.7
2016;April;Arar;6.2
2016;April;Wejh;0.001
2016;April;Al-Ahsa;16.9
2016;April;Al-Jouf;2.6
2016;April;Qassim;34.5
2016;May;Arar;4.5
2016;May;Hail;1.2
2016;May;Abha;19.4
2016;May;Jeddah KAIA;0.0
2016;May;Qassim;1.0
2016;June;Arar;0.0
2016;June;Wejh;0.0
2016;June;Madinah;0.0
2016;June;Taif;0.0
2016;June;Jeddah KAIA;0.0
2016;June;Qassim;0.0
2016;June;Al-Baha;6.7
2016;July;Abha;26.4
2016;July;Rafha;0.0
2016;July;Jeddah KAIA;0.0
2016;July;Qassim;0.0
2016;August;Arar;0.0
2016;August;Khamis Mushait;19.3
2016;August;Wejh;0.0
2016;August;Yenbo;0.001
2016;August;Makkah;3.7
2016;September;Yenbo;0.0
2016;September;Dmmam;0.0
2016;September;Madinah;0.0
2016;September;Bisha;0.0
2016;September;Taif;30.2
2016;October;Hail;0.0
2016;October;Yenbo;0.0
2016;October;Guriat;0.001
2016;October;Turaif;0.0
2016;October;Najran;0.0
2016;October;Rafha;0.0
2016;October;Jeddah KAIA;0.0
2016;October;Tabuk;0.001
2016;November;Arar;2.7
2016;November;Khamis Mushait;5.0
2016;November;Yenbo;0.0
2016;November;Turaif;0.001
2016;November;Wadi Aldawasir;0.0
2016;November;Tabuk;0.001
2016;December;Arar;6.2
2016;December;Khamis Mushait;0.0
2016;December;Wejh;0.0
2016;December;Al-Ahsa;0.0
2016;December;Yenbo;0.0
2016;December;Guriat;24.9
2016;December;Madinah;3.6
2016;December;Makkah;0.001
2016;December;Bisha;0.0
2016;December;Sharorah;0.0
2016;December;Jeddah KAIA;4.0
2016;December;Qaisumah;0.001
2017;January;Hail;0.0
2017;January;Madinah;5.2
2017;January;Makkah;25.5
2017;January;Wadi Aldawasir;0.0
2017;January;Jeddah KAIA;12.1
2017;January;Riyadh New;31.1
2017;January;Qaisumah;0.0
2017;February;Yenbo;0.0
2017;February;Dmmam;7.6
2017;February;Madinah;2.2
2017;February;Makkah;10.6
2017;February;Qassim;12.3
2017;March;Khamis Mushait;43.1
2017;March;Guriat;0.0
2017;March;Madinah;0.0
2017;April;Madinah;0.001
2017;April;Bisha;0.001
2017;April;Taif;0.0
2017;April;Al-Jouf;2.2
2017;April;Sharorah;0.0
2017;April;Qassim;13.4
2017;April;Riyadh New;9.6
2017;May;Hail;0.0
2017;May;Wejh;0.0
2017;May;Jizan;0.001
2017;May;Qassim;0.0
2017;May;Tabuk;10.5
2017;June;Makkah;105.4
2017;June;Wadi Aldawasir;0.0
2017;June;Najran;0.0
2017;June;Tabuk;4.6
2017;July;Hail;0.0
2017;July;Wejh;0.0
2017;July;Dmmam;0.0
2017;July;Makkah;12.2
2017;July;Turaif;1.0
2017;July;Jizan;0.001
2017;July;Qaisumah;0.0
2017;July;Al-Baha;0.0
2017;August;Arar;14.5
2017;August;Khamis Mushait;0.0
2017;August;Abha;0.0
2017;August;Turaif;0.0
2017;August;Qassim;0.0
2017;August;Tabuk;0.001
2017;September;Arar;4.3
2017;September;Hail;0.0
2017;September;Wejh;0.0
2017;September;Madinah;0.0
2017;September;Qaisumah;0.0
2017;October;Khamis Mushait;0.001
2017;October;Madinah;0.001
2017;October;Jizan;0.001
2017;October;Al-Baha;0.001
2017;November;Khamis Mushait;0.001
2017;November;Najran;0.0
2017;November;Sharorah;0.0
2017;December;Madinah;3.5
2017;December;Qassim;0.0
2018;January;Khamis Mushait;0.0
2018;January;Wadi Aldawasir;0.0
2018;January;Tabuk;0.001
2018;February;Arar;23.9
2018;February;Bisha;2.0
2018;February;Turaif;17.5
2018;February;Najran;0.0
2018;February;Qaisumah;0.001
2018;March;Hail;0.0
2018;March;Wejh;0.0
2018;March;Abha;30.3
2018;March;Taif;0.001
2018;March;Sharorah;0.001
2018;April;Wejh;0.0
2018;April;Wadi Aldawasir;19.2
